Price,Bed,Bath,Sqft,Link
" $200,000 ",3,2,1241,https://www.realtor.com/realestateandhomes-detail/744-Okie-Ridge-Rd_Yukon_OK_73099_M89254-77909
" $186,000 ",3,2,1408,https://www.realtor.com/realestateandhomes-detail/912-Royal-Ln_Yukon_OK_73099_M88700-62166
" $235,000 ",4,3,2363,https://www.realtor.com/realestateandhomes-detail/10416-Paisley-Rd_Yukon_OK_73099_M87956-42079
" $200,000 ",4,2,2018,https://www.realtor.com/realestateandhomes-detail/113-Lochwood-Ln_Yukon_OK_73099_M89745-18603
" $200,000 ",3,2,1811,https://www.realtor.com/realestateandhomes-detail/10312-Kendal-Ave_Yukon_OK_73099_M76504-26376
" $399,900 ",4,2,2491,https://www.realtor.com/realestateandhomes-detail/13109-NW-7th-St_Yukon_OK_73099_M85762-89607
" $149,900 ",4,2,1800,https://www.realtor.com/realestateandhomes-detail/16490-Sunridge-Dr_Yukon_OK_73099_M87701-33832
" $205,000 ",4,2,1738,https://www.realtor.com/realestateandhomes-detail/10720-NW-27th-St_Yukon_OK_73099_M71524-53293
" $245,000 ",4,2.5,2120,https://www.realtor.com/realestateandhomes-detail/12009-SW-1st-St_Yukon_OK_73099_M76247-43141
" $255,000 ",3,2.5,1914,https://www.realtor.com/realestateandhomes-detail/13116-SW-2nd-Ter_Yukon_OK_73099_M77115-49859
" $235,000 ",3,2,1718,https://www.realtor.com/realestateandhomes-detail/9713-Wessex-Dr_Yukon_OK_73099_M79013-25461
" $337,700 ",5,3,2938,https://www.realtor.com/realestateandhomes-detail/11300-NW-96th-St_Yukon_OK_73099_M78351-74135
" $279,000 ",3,2,1937,https://www.realtor.com/realestateandhomes-detail/9120-NW-117th-St_Yukon_OK_73099_M95379-91943
" $286,000 ",3,2,1850,https://www.realtor.com/realestateandhomes-detail/1408-Shadow-Ter_Yukon_OK_73099_M77650-25689
" $240,000 ",4,2,1915,https://www.realtor.com/realestateandhomes-detail/2705-Crystal-Pine-Dr_Yukon_OK_73099_M75858-65070
" $289,000 ",3,2,2025,https://www.realtor.com/realestateandhomes-detail/11916-SW-18th-St_Yukon_OK_73099_M78022-69744
" $307,000 ",4,2.5,2242,https://www.realtor.com/realestateandhomes-detail/11813-Charleston-Way_Yukon_OK_73099_M83505-08560
" $330,500 ",3,2,2003,https://www.realtor.com/realestateandhomes-detail/2313-Marjoree-Ln_Yukon_OK_73099_M70157-64017
" $239,200 ",3,2,1158,https://www.realtor.com/realestateandhomes-detail/3412-Pagoda-Pead-Dr_Yukon_OK_73099_M90562-55358
" $305,000 ",3,2,1824,https://www.realtor.com/realestateandhomes-detail/2305-Marjoree-Ln_Yukon_OK_73099_M70156-89485
" $306,758 ",3,2,1655,https://www.realtor.com/realestateandhomes-detail/3509-Stoney-Ridge-Ct_Yukon_OK_73099_M95749-43568
" $351,943 ",3,2,1907,https://www.realtor.com/realestateandhomes-detail/10416-NW-34th-St_Yukon_OK_73099_M79017-69473
" $325,000 ",4,2,1928,https://www.realtor.com/realestateandhomes-detail/10809-NW-28th-Ter_Yukon_OK_73099_M78685-39808
" $354,640 ",4,2.5,2288,https://www.realtor.com/realestateandhomes-detail/13525-NW-1st-Ter_Yukon_OK_73099_M79061-66854
" $281,790 ",3,2,1550,https://www.realtor.com/realestateandhomes-detail/8913-Poppey-Pl_Yukon_OK_73099_M99451-52973
" $339,340 ",4,2,1950,https://www.realtor.com/realestateandhomes-detail/9213-NW-89th-St_Yukon_OK_73099_M99294-72315
" $304,790 ",3,2,1750,https://www.realtor.com/realestateandhomes-detail/8901-Poppey-Pl_Yukon_OK_73099_M94155-17275
" $335,000 ",4,2,1937,https://www.realtor.com/realestateandhomes-detail/9216-NW-90th-St_Yukon_OK_73099_M98963-81958
" $356,990 ",4,3,2721,https://www.realtor.com/realestateandhomes-detail/2000-Mulberry-Creek-Ave_Yukon_OK_73099_M74598-57271
" $291,190 ",3,2,1625,https://www.realtor.com/realestateandhomes-detail/8909-Poppey-Pl_Yukon_OK_73099_M95152-96604
" $386,840 ",4,3,2450,https://www.realtor.com/realestateandhomes-detail/9229-NW-89th-St_Yukon_OK_73099_M92998-41577
" $343,990 ",4,3,2447,https://www.realtor.com/realestateandhomes-detail/10721-SW-20th-St_Yukon_OK_73099_M96987-86999
" $299,190 ",4,2,1700,https://www.realtor.com/realestateandhomes-detail/8905-Poppey-Pl_Yukon_OK_73099_M90206-14866
" $366,340 ",4,3,2300,https://www.realtor.com/realestateandhomes-detail/9209-NW-89th-St_Yukon_OK_73099_M91454-12377
" $361,340 ",4,3,2250,https://www.realtor.com/realestateandhomes-detail/9221-NW-89th-St_Yukon_OK_73099_M90606-32171
" $1,100,000 ",4,2,2944,https://www.realtor.com/realestateandhomes-detail/6521-Lois-Ln_Yukon_OK_73099_M77678-71293
" $324,340 ",4,2,1850,https://www.realtor.com/realestateandhomes-detail/9225-NW-89th-St_Yukon_OK_73099_M95361-47072
" $524,900 ",4,3,2676,https://www.realtor.com/realestateandhomes-detail/14500-Chambord-Dr_Yukon_OK_73099_M91933-36816
" $549,900 ",4,3.5,2888,https://www.realtor.com/realestateandhomes-detail/14508-Chambord-Dr_Yukon_OK_73099_M94026-39964
" $549,900 ",4,3,2775,https://www.realtor.com/realestateandhomes-detail/14504-Chambord-Dr_Yukon_OK_73099_M94373-24262
" $324,990 ",4,2,2253,https://www.realtor.com/realestateandhomes-detail/10601-SW-20th-St_Yukon_OK_73099_M74579-93974
" $395,340 ",5,3,2520,https://www.realtor.com/realestateandhomes-detail/9205-NW-89th-St_Yukon_OK_73099_M93036-01222
" $275,000 ",3,2,1844,https://www.realtor.com/realestateandhomes-detail/3428-Sadie-Dr_Mustang_OK_73064_M87759-25796
" $344,310 ",4,3,2424,https://www.realtor.com/realestateandhomes-detail/9612-Wessex-Dr_Yukon_OK_73099_M85355-49125
" $289,000 ",4,2,1797,https://www.realtor.com/realestateandhomes-detail/9808-SW-28th-St_Yukon_OK_73099_M74968-50614
" $227,000 ",3,2,1513,https://www.realtor.com/realestateandhomes-detail/909-Ellsworth-Ave_Yukon_OK_73099_M73584-32368
" $344,900 ",4,2.5,2220,https://www.realtor.com/realestateandhomes-detail/10412-Glover-River-Dr_Yukon_OK_73099_M79178-71540
" $388,840 ",4,3,2450,https://www.realtor.com/realestateandhomes-detail/805-John-Chisholm-Way_Yukon_OK_73099_M95048-53104
" $525,000 ",3,2.5+,3581,https://www.realtor.com/realestateandhomes-detail/9841-Stonebridge-Dr_Yukon_OK_73099_M79635-92023
" $297,990 ",3,2,1750,https://www.realtor.com/realestateandhomes-detail/9101-NW-124th-St_Yukon_OK_73099_M94797-13105
